Total E proteins found: 376
Complete E proteins (480-510 aa): 366

ALL E PROTEINS:
ASA47700.1: 495 aa
ARR99015.1: 495 aa
ARM59241.1: 488 aa
AEX97810.1: 495 aa
AEX97809.1: 490 aa
AEX97808.1: 495 aa
AQN27259.1: 495 aa
AQN27257.1: 495 aa
AQN27256.1: 495 aa
AMK49297.1: 495 aa
AMD09592.1: 495 aa
AMD09590.1: 495 aa
ANC57644.1: 495 aa
ANC57626.1: 495 aa
ANC57625.1: 495 aa
ANC57624.1: 495 aa
ANC57622.1: 495 aa
ACC94031.1: 495 aa
ACC94029.1: 495 aa
ABD17420.1: 495 aa
ABD17419.1: 495 aa
ABD17411.1: 495 aa
AAX28947.1: 495 aa
AAX28946.1: 495 aa
AAX28945.1: 495 aa
AAX28944.1: 495 aa
AAX28938.1: 495 aa
AAX28936.1: 495 aa
AAX28935.1: 495 aa
AAX28934.1: 495 aa
AAU89374.1: 495 aa
AAU89373.1: 495 aa
AAU89370.1: 495 aa
AAU89368.1: 495 aa
AAU89365.1: 495 aa
AAU89364.1: 495 aa
AAU89363.1: 495 aa
AAU89359.1: 495 aa
AAU89357.1: 495 aa
AAU89353.1: 495 aa
AAU89350.1: 495 aa
AAU89349.1: 495 aa
AAU89346.1: 495 aa
AAU89345.1: 495 aa
AAU89344.1: 495 aa
AAU89342.1: 495 aa
AAU89341.1: 495 aa
AAU89339.1: 495 aa
AAU89338.1: 495 aa
AAU89335.1: 495 aa
AAU89332.1: 495 aa
AAU89325.1: 495 aa
AAU89324.1: 495 aa
AAF61130.1: 491 aa
AAF61129.1: 495 aa
AAF61126.1: 495 aa
AEW24969.1: 495 aa
AEW24967.1: 493 aa
AEW24966.1: 495 aa
AEV66314.1: 495 aa
AEV66312.1: 495 aa
AEV66311.1: 495 aa
AEV66309.1: 495 aa
AEV66308.1: 495 aa
AEV66306.1: 495 aa
AER00190.1: 495 aa
AER00189.1: 460 aa
AER00188.1: 463 aa
AEN71285.1: 495 aa
AEN71284.1: 495 aa
AEN71282.1: 495 aa
AEN71271.1: 495 aa
AEN71269.1: 495 aa
AEN71266.1: 495 aa
AEN71265.1: 495 aa
AEN71264.1: 495 aa
AEN71263.1: 495 aa
AEA02353.1: 495 aa
AEA02352.1: 495 aa
ADJ18331.1: 488 aa
ADD84767.1: 495 aa
ACY01674.1: 495 aa
ACY01670.1: 495 aa
ACY01663.1: 495 aa
ACY01662.1: 495 aa
ACY01661.1: 495 aa
ACY01658.1: 495 aa
ACY01653.1: 495 aa
ACY01649.1: 495 aa
ACY01643.1: 495 aa
ABO27189.1: 495 aa
ABO27186.1: 495 aa
AKN20441.1: 485 aa
AKN20434.1: 485 aa
AKN20430.1: 485 aa
AKN20420.1: 485 aa
AKN20415.1: 485 aa
ANI24483.1: 495 aa
ANI24481.1: 495 aa
ANI24480.1: 495 aa
ALO19310.1: 495 aa
ALO19304.1: 495 aa
ALO19303.1: 495 aa
ALO19299.1: 495 aa
ALO19295.1: 495 aa
ALO19261.1: 495 aa
ALO19246.1: 495 aa
ALO19245.1: 495 aa
ALO19239.1: 495 aa
ALO19216.1: 495 aa
ALO19208.1: 495 aa
ALO19198.1: 495 aa
ALO19180.1: 495 aa
ALO19175.1: 495 aa
ALO19165.1: 495 aa
ALO19152.1: 495 aa
ALO19110.1: 495 aa
ALO19099.1: 495 aa
ALO19055.1: 495 aa
ALO19013.1: 495 aa
ALO19007.1: 495 aa
ALO19005.1: 495 aa
ALO18969.1: 495 aa
AJW31550.1: 495 aa
ALG00143.1: 495 aa
ALG00142.1: 495 aa
ALG00141.1: 494 aa
ALG00140.1: 495 aa
ALG00139.1: 495 aa
ALA99032.1: 495 aa
ALA99027.1: 495 aa
ALA99023.1: 495 aa
AKL81377.1: 495 aa
AKL81376.1: 480 aa
AFZ40097.1: 495 aa
AFZ40096.1: 495 aa
AFZ40095.1: 495 aa
AFZ40094.1: 495 aa
AFZ40093.1: 495 aa
AFZ40091.1: 495 aa
AFZ40090.1: 495 aa
AFZ40089.1: 495 aa
AFZ40088.1: 495 aa
AFZ40087.1: 495 aa
AKB95602.1: 495 aa
AJD14764.1: 495 aa
AJD14763.1: 495 aa
AJD14762.1: 495 aa
AIW04787.1: 495 aa
AHF46347.1: 495 aa
AHF46346.1: 495 aa
AGH68523.1: 495 aa
AGH68522.1: 495 aa
AGH68521.1: 495 aa
AGH68520.1: 495 aa
AGH68519.1: 495 aa
AGH68517.1: 495 aa
AFX96154.1: 495 aa
AFX96146.1: 495 aa
AFX96143.1: 495 aa
AFX96141.1: 495 aa
AFX96140.1: 495 aa
AFX96124.1: 495 aa
AGD80836.1: 495 aa
AGD80831.1: 495 aa
AGD80787.1: 495 aa
AGD80784.1: 495 aa
AGD80783.1: 495 aa
AGD80782.1: 495 aa
AGD80781.1: 495 aa
AGD80780.1: 495 aa
AGD80766.1: 495 aa
AFN85233.1: 495 aa
AFN85232.1: 495 aa
AFN85231.1: 495 aa
AFN85224.1: 495 aa
AFN85223.1: 495 aa
AFN85222.1: 495 aa
AFN85221.1: 495 aa
AFV69152.1: 495 aa
AFV69151.1: 495 aa
AFV69150.1: 495 aa
AFV69149.1: 495 aa
AFV69148.1: 495 aa
AFV69146.1: 495 aa
AFV69145.1: 495 aa
AFV69144.1: 495 aa
AFV69143.1: 495 aa
AFV69142.1: 495 aa
AFV69141.1: 495 aa
AFV69140.1: 495 aa
AFV69139.1: 495 aa
AFV69135.1: 495 aa
AFV69134.1: 495 aa
AFV69132.1: 495 aa
AFU75213.1: 495 aa
AEX20309.1: 495 aa
AEX20303.1: 495 aa
AEX20290.1: 495 aa
AEX20281.1: 495 aa
AEX20263.1: 495 aa
AEX20262.1: 495 aa
AEX20261.1: 495 aa
AEX20260.1: 495 aa
AEX20257.1: 495 aa
AEX20256.1: 495 aa
AFI71490.1: 495 aa
AFI71489.1: 495 aa
AFI71485.1: 495 aa
AFI71479.1: 495 aa
AFI71477.1: 495 aa
AFI71474.1: 495 aa
AFI71473.1: 495 aa
AFI71471.1: 495 aa
AFI71468.1: 495 aa
AFI71467.1: 495 aa
AFI71466.1: 495 aa
AFI71465.1: 495 aa
AFI71464.1: 495 aa
AFI71463.1: 495 aa
AFI71462.1: 495 aa
AFI71460.1: 495 aa
AFG28982.1: 495 aa
AAV49746.1: 495 aa
BAC77236.1: 495 aa
BAC77234.1: 495 aa
CAD21681.1: 495 aa
CAD21680.1: 495 aa
CAD21679.1: 495 aa
CAD21678.1: 495 aa
CAD21677.1: 495 aa
AXU40382.1: 495 aa
AXU40376.1: 495 aa
AXU40375.1: 495 aa
AXU40372.1: 495 aa
AXU40370.1: 495 aa
AXU40369.1: 495 aa
BAP82401.1: 495 aa
AJT59753.1: 495 aa
AHJ10496.1: 495 aa
AHJ10491.1: 495 aa
AHJ10488.1: 495 aa
AHJ10486.1: 495 aa
AHJ10485.1: 495 aa
AHJ10482.1: 495 aa
AHJ10478.1: 495 aa

LENGTH STATISTICS:
Average: 493.9 aa
Min: 460 aa
Max: 495 aa
