Total E proteins found: 1438
Complete E proteins (480-510 aa): 1373

ALL E PROTEINS:
AXC44079.1: 517 aa
AXC44078.1: 542 aa
AXC44077.1: 542 aa
AXC44076.1: 539 aa
AXC44075.1: 523 aa
AXC44074.1: 526 aa
AXC44073.1: 507 aa
AXC44072.1: 520 aa
AXC44071.1: 530 aa
AXC44070.1: 520 aa
AXC44069.1: 526 aa
AXC44067.1: 526 aa
AXC44066.1: 516 aa
AXC44064.1: 519 aa
AXC44063.1: 514 aa
AXC44062.1: 526 aa
AXC44061.1: 531 aa
AXC44060.1: 522 aa
AXC44058.1: 520 aa
AXC44056.1: 523 aa
AXC44055.1: 532 aa
QCT81055.1: 495 aa
QCT81054.1: 495 aa
QCT81052.1: 495 aa
QCT81047.1: 495 aa
QBY34584.1: 495 aa
QBY34583.1: 495 aa
QBY34579.1: 495 aa
QBY34577.1: 495 aa
QBY34573.1: 495 aa
QBY34572.1: 495 aa
QBM19391.1: 495 aa
QBM19389.1: 495 aa
QBM19385.1: 495 aa
QBM19383.1: 495 aa
QBM19380.1: 495 aa
ASV49445.1: 495 aa
ASV49444.1: 495 aa
ASV49439.1: 495 aa
ASV49437.1: 495 aa
ASV49436.1: 495 aa
AYP74610.1: 495 aa
AYP74609.1: 495 aa
AYP74607.1: 495 aa
AYP74606.1: 495 aa
AYP74602.1: 495 aa
AYP74599.1: 495 aa
AYP74592.1: 495 aa
AYP74576.1: 495 aa
AYP74574.1: 495 aa
AYP74559.1: 495 aa
AYP74552.1: 495 aa
AYP74526.1: 495 aa
AYP74521.1: 495 aa
AYP74514.1: 495 aa
AYP74513.1: 495 aa
AYP74505.1: 495 aa
AYP74497.1: 495 aa
AYP74488.1: 495 aa
AYP74487.1: 495 aa
AYP74484.1: 495 aa
AYP74481.1: 495 aa
AYP74465.1: 495 aa
AYP74445.1: 495 aa
AYP74444.1: 495 aa
AYP74443.1: 495 aa
AYP74368.1: 495 aa
AYP74366.1: 495 aa
AYP74365.1: 495 aa
AYP74364.1: 495 aa
AYP74358.1: 495 aa
AYP74353.1: 495 aa
AYP74350.1: 495 aa
AYP74336.1: 495 aa
AYP74333.1: 495 aa
BBC27386.1: 495 aa
ACC68714.1: 495 aa
ACC68713.1: 495 aa
ACC68712.1: 495 aa
ACC68711.1: 495 aa
ACC68710.1: 495 aa
ACC68708.1: 495 aa
ACC68707.1: 495 aa
ACC68706.1: 495 aa
ACC68705.1: 495 aa
ACC68704.1: 495 aa
ACC68703.1: 495 aa
ACC68702.1: 495 aa
ACC68701.1: 495 aa
ACC68697.1: 495 aa
ACC68696.1: 495 aa
ACC68694.1: 495 aa
ACC68693.1: 495 aa
ACC68692.1: 495 aa
ACC68691.1: 495 aa
ACC68689.1: 495 aa
ACC68688.1: 495 aa
ACC68687.1: 495 aa
ABX25769.1: 495 aa
ABX25763.1: 495 aa
ABW35426.1: 495 aa
ABW35418.1: 495 aa
ABW35417.1: 495 aa
ABW35415.1: 495 aa
ABW35411.1: 495 aa
ABW35406.1: 495 aa
ABW35403.1: 495 aa
BBH51256.1: 495 aa
NP_722460.2: 495 aa
QBF29218.1: 495 aa
QBF29213.1: 495 aa
QBF29204.1: 495 aa
QBF29200.1: 495 aa
QBF29195.1: 495 aa
QBF29194.1: 495 aa
QBA18569.1: 495 aa
QBA18567.1: 495 aa
QBA18566.1: 495 aa
QBA18560.1: 495 aa
QBA18559.1: 495 aa
QBA18554.1: 495 aa
QBA18549.1: 495 aa
AZS59369.1: 495 aa
AZS59368.1: 495 aa
AZS59367.1: 495 aa
AZS59366.1: 495 aa
AYA71580.1: 494 aa
AYA71556.1: 494 aa
AYA71553.1: 494 aa
AYA71552.1: 494 aa
AYA71522.1: 494 aa
AYA71458.1: 494 aa
AYA71435.1: 494 aa
AYA71316.1: 494 aa
AYA71211.1: 494 aa
AYA71207.1: 494 aa
AYA71204.1: 494 aa
AYA71193.1: 494 aa
AYA71183.1: 494 aa
AYA71177.1: 494 aa
AYA71151.1: 494 aa
AYA71142.1: 494 aa
AXR86409.1: 495 aa
AXR86393.1: 495 aa
AXR86392.1: 495 aa
AXN59196.1: 476 aa
AXN59194.1: 495 aa
AXN59192.1: 495 aa
AXN59187.1: 495 aa
AXN59184.1: 495 aa
AXN59179.1: 495 aa
AXN59175.1: 493 aa
AXN59169.1: 495 aa
AXN59168.1: 495 aa
AXN59167.1: 495 aa
AXN59159.1: 476 aa
AXN59153.1: 495 aa
AXN59151.1: 495 aa
AXN59149.1: 492 aa
AXN59147.1: 495 aa
AXN59144.1: 495 aa
AXN59142.1: 495 aa
AXN59139.1: 495 aa
AXN59137.1: 495 aa
AXN59134.1: 495 aa
AXN59132.1: 495 aa
AXN59128.1: 495 aa
AXN59127.1: 492 aa
AXN59126.1: 495 aa
AXN59115.1: 495 aa
AXN59112.1: 495 aa
AXN59110.1: 495 aa
AXN59091.1: 495 aa
AXN59089.1: 495 aa
AXN59081.1: 495 aa
AXN59080.1: 495 aa
AXN59079.1: 495 aa
AXN59078.1: 495 aa
AXN59076.1: 495 aa
AXN59075.1: 495 aa
AXN59072.1: 490 aa
AXN59071.1: 478 aa
AXN59064.1: 495 aa
AXN59063.1: 477 aa
AXN59062.1: 480 aa
AXN59061.1: 495 aa
AXN59056.1: 495 aa
AXN59055.1: 495 aa
AXN59049.1: 495 aa
AXN59042.1: 495 aa
AXN59034.1: 495 aa
AXN59017.1: 495 aa
AXN59008.1: 495 aa
AXN59004.1: 488 aa
AXN59001.1: 495 aa
AXN58999.1: 495 aa
AXN58997.1: 495 aa
AXN58993.1: 495 aa
AXN58984.1: 495 aa
AXN58981.1: 495 aa
AXN58979.1: 495 aa
AXN58977.1: 495 aa
AXN58976.1: 495 aa
AXN58975.1: 495 aa
AXN58972.1: 495 aa
AXN58961.1: 495 aa
AXN58958.1: 495 aa
AXN58943.1: 495 aa
AXN58935.1: 495 aa
AXN58933.1: 495 aa
AXN58929.1: 495 aa
AXN58928.1: 495 aa
AXN58925.1: 495 aa
AXN58908.1: 495 aa
AXN58903.1: 495 aa
AXN58901.1: 495 aa
AXN58895.1: 495 aa
AXN58894.1: 495 aa
AXN58888.1: 481 aa
AXN58876.1: 491 aa
AXN58875.1: 495 aa
AXN58859.1: 495 aa
AXN58848.1: 492 aa
AXN58847.1: 483 aa
AXN58846.1: 495 aa
AXN58845.1: 493 aa
AXN58834.1: 495 aa
AXN58828.1: 482 aa
AXN58827.1: 491 aa
AXN58826.1: 495 aa
AXN58815.1: 495 aa
AXN58812.1: 495 aa
AXN58811.1: 495 aa
AXN58809.1: 477 aa
AXN58806.1: 495 aa
AXN58803.1: 482 aa
AXN58798.1: 495 aa
AXN58792.1: 492 aa
AXN58783.1: 495 aa
AXN58772.1: 492 aa
AXN58758.1: 488 aa
AXN58754.1: 495 aa
AXN58752.1: 495 aa
AXN58751.1: 495 aa
AXN58749.1: 495 aa
AXN58748.1: 491 aa
AXN58747.1: 495 aa
AXN58742.1: 495 aa
AXN58738.1: 481 aa
AXN58737.1: 492 aa
AXN58735.1: 492 aa
AXN58729.1: 495 aa
AXN58727.1: 495 aa
AXN58722.1: 492 aa
AXN58721.1: 495 aa
AXN58717.1: 491 aa
AXN58702.1: 495 aa
AXN58701.1: 495 aa
AXN58691.1: 495 aa
AXN58690.1: 495 aa
AXN58684.1: 495 aa
AXN58676.1: 495 aa
AXN58663.1: 495 aa
AXN58661.1: 495 aa
AXN58660.1: 495 aa
AXN58658.1: 495 aa
AXN58645.1: 495 aa
AXN58635.1: 491 aa
AXN58631.1: 495 aa
AXN58628.1: 492 aa
AXN58614.1: 485 aa
AXN58609.1: 492 aa
AXN58605.1: 495 aa
AXN58602.1: 495 aa
AXN58598.1: 495 aa
AXN58596.1: 495 aa
AXN58595.1: 483 aa
AXM43689.1: 495 aa
AXM43684.1: 495 aa
AXM43659.1: 495 aa
AXM43656.1: 495 aa
AXM43654.1: 495 aa
AXM43653.1: 495 aa
AXM43651.1: 486 aa
AXM43650.1: 495 aa
AXM43645.1: 485 aa
AXM43637.1: 495 aa
AXM43629.1: 489 aa
AXM43616.1: 482 aa
AXM43613.1: 475 aa
AXM43612.1: 480 aa
AXM43611.1: 492 aa
AXL67458.1: 495 aa
AXL67457.1: 495 aa
AXL67454.1: 495 aa
AXL67453.1: 495 aa
AXL67451.1: 495 aa
AXL67448.1: 495 aa
AXL67447.1: 495 aa
AXL67445.1: 495 aa
AXL67440.1: 495 aa
AXL67439.1: 495 aa
AXL67438.1: 495 aa
AXL67436.1: 495 aa
AXL67434.1: 495 aa
AXL67424.1: 495 aa
AXL67423.1: 495 aa
AXL67419.1: 495 aa
AXL67413.1: 495 aa
AXL67411.1: 495 aa
AXL67409.1: 495 aa
AXL67408.1: 495 aa
AXL67404.1: 495 aa
AXL67403.1: 495 aa
AXL67400.1: 495 aa
AXL67399.1: 495 aa
AXL67398.1: 495 aa
AXL67397.1: 495 aa
AXL67395.1: 495 aa
AXL67391.1: 495 aa
AXL67389.1: 495 aa
AXL67388.1: 495 aa
AXL67384.1: 495 aa
AXL67382.1: 495 aa
AXL67376.1: 495 aa
AXL67370.1: 495 aa
AXL67368.1: 495 aa
AXL67364.1: 495 aa
AXL67363.1: 495 aa
AXL67361.1: 495 aa
AXL67360.1: 495 aa
AXL67359.1: 495 aa
AXL67352.1: 495 aa
AXL67346.1: 495 aa
AXL67341.1: 495 aa
AXL67338.1: 495 aa
AXL67337.1: 495 aa
AXL67333.1: 495 aa
AXL67328.1: 495 aa
AXL67326.1: 495 aa
AXL67323.1: 495 aa
AXL67318.1: 495 aa
AXL67317.1: 495 aa
AXL67303.1: 495 aa
AXL67298.1: 495 aa
AXL67297.1: 495 aa
AXL67295.1: 495 aa
AXL67292.1: 495 aa
AXL67291.1: 495 aa
AXL67289.1: 495 aa
AXL67284.1: 495 aa
AXL67282.1: 495 aa
AXL67273.1: 495 aa
AXL67272.1: 495 aa
AXL67270.1: 495 aa
AXL67266.1: 495 aa
AXL67265.1: 495 aa
AXL67262.1: 495 aa
AXL67261.1: 495 aa
AXL67258.1: 495 aa
AXL67255.1: 495 aa
AXL67252.1: 495 aa
AXL67250.1: 495 aa
AXL67248.1: 495 aa
AXL67244.1: 495 aa
AXL67241.1: 495 aa
AXL67240.1: 495 aa
AXL67238.1: 495 aa
AXL67237.1: 495 aa
AXL67234.1: 495 aa
AXL67232.1: 495 aa
AXL67228.1: 495 aa
AXL67226.1: 495 aa
AXL67223.1: 495 aa
AXL67222.1: 495 aa
AXL67220.1: 495 aa
AXL67218.1: 495 aa
AXL67214.1: 495 aa
AXL67213.1: 495 aa
AXL67210.1: 495 aa
AXL67209.1: 495 aa
AXL67202.1: 495 aa
AXL67200.1: 495 aa
AXL67194.1: 495 aa
AXL67193.1: 495 aa
AXL67192.1: 495 aa
AXL67191.1: 495 aa
AXL67189.1: 495 aa
AXL67187.1: 495 aa
AXL67185.1: 495 aa
AXL67183.1: 495 aa
AXL67178.1: 495 aa
AXL67176.1: 495 aa
AXL67174.1: 495 aa
AXL67171.1: 495 aa
AXL67169.1: 495 aa
AXL67168.1: 495 aa
AXL67167.1: 495 aa
AXL67164.1: 495 aa
AQY14814.1: 495 aa
AQY14811.1: 495 aa
AVB77284.1: 495 aa
AVB77283.1: 495 aa
AVB77281.1: 495 aa
AVB77280.1: 495 aa
AVB77277.1: 495 aa
AVB77276.1: 495 aa
AVB77275.1: 495 aa
AVB77274.1: 495 aa
AVB77273.1: 495 aa
AVB77272.1: 495 aa
AVB77271.1: 495 aa
AVB77270.1: 495 aa
AVB77268.1: 495 aa
AVB77267.1: 495 aa
AVB77264.1: 495 aa
AVB77263.1: 495 aa
AVB77262.1: 495 aa
AVB77260.1: 495 aa
AVB77259.1: 495 aa
AVB77256.1: 495 aa
AVB77255.1: 495 aa
AVB77254.1: 495 aa
AVB77253.1: 495 aa
AUA17943.1: 495 aa
AUA17942.1: 495 aa
AUA17940.1: 495 aa
ATP66566.1: 495 aa
AOQ25775.1: 495 aa
AOQ25772.1: 495 aa
AOQ25768.1: 495 aa
AOQ25758.1: 495 aa
AOQ25757.1: 495 aa
AOQ25753.1: 495 aa
AOQ25750.1: 495 aa
AOQ25747.1: 495 aa
AOQ25740.1: 495 aa
AOQ25738.1: 495 aa
AOQ25730.1: 495 aa
AOQ25729.1: 495 aa
AOQ25726.1: 495 aa
AOQ25725.1: 495 aa
AOQ25713.1: 495 aa
AOQ25712.1: 495 aa
AOQ25710.1: 495 aa
AOQ25699.1: 495 aa
AOQ25696.1: 495 aa
AOQ25695.1: 495 aa
AOQ25694.1: 495 aa
AOQ25690.1: 495 aa
AOQ25688.1: 495 aa
AOQ25680.1: 495 aa
AOQ25678.1: 495 aa
AOQ25677.1: 495 aa
AOQ25673.1: 495 aa
AOQ25668.1: 495 aa
AOQ25666.1: 495 aa
ATO93876.1: 495 aa
ATO93875.1: 495 aa
ATO93869.1: 495 aa
ATO93866.1: 495 aa
AKU61434.1: 495 aa
AKU61433.1: 495 aa
AKU61432.1: 495 aa
AKU61431.1: 495 aa
AKU61427.1: 495 aa
AKU61426.1: 495 aa
AKU61423.1: 495 aa
AKU61420.1: 495 aa
AFX72752.1: 495 aa
AFX72738.1: 495 aa
AFX72723.1: 495 aa
AFX72718.1: 495 aa
AFX72716.1: 495 aa
AFX72715.1: 495 aa
AFX72711.1: 495 aa
AFX72710.1: 495 aa
ARX70554.1: 495 aa
ARX70541.1: 495 aa
ARX70538.1: 495 aa
ARX70534.1: 495 aa
ARX70517.1: 495 aa
ARX70491.1: 495 aa
ARX70484.1: 495 aa
ARX70483.1: 495 aa
ARX70479.1: 495 aa
ASM94395.1: 495 aa
ASM94393.1: 495 aa
ASA47690.1: 495 aa
ASA47689.1: 495 aa
ASA47688.1: 495 aa
ASA47687.1: 495 aa
ASA47686.1: 495 aa
ASA47685.1: 495 aa
ARR98987.1: 495 aa
ARR98986.1: 495 aa
ARR98985.1: 495 aa
ARR98978.1: 495 aa
ARR98977.1: 495 aa
ARR98976.1: 495 aa
AEW25106.1: 495 aa
AEW25101.1: 495 aa
AEW25097.1: 495 aa
AEW25095.1: 495 aa
AEW25085.1: 495 aa
AEW25083.1: 495 aa
ADF55778.1: 495 aa
ADF55776.1: 495 aa
ADF55775.1: 473 aa
ADF55773.1: 495 aa
ADF55772.1: 495 aa
ADF55767.1: 495 aa
ADF55765.1: 495 aa
AJQ21345.1: 487 aa
AJQ21338.1: 495 aa
AJQ21320.1: 492 aa
AJQ21318.1: 491 aa
AJQ21313.1: 485 aa
AQN27333.2: 495 aa
AQN27332.2: 495 aa
AQN27330.2: 495 aa
AQN27329.2: 495 aa
AQN27328.2: 495 aa
AQN27326.2: 495 aa
AQN27325.2: 495 aa
AQN27323.2: 495 aa
AQN27321.2: 495 aa
AQN27314.2: 495 aa
AQN27313.2: 495 aa
AQN27306.2: 495 aa
AQN27304.2: 495 aa
AQN27303.2: 495 aa
AQN27301.2: 495 aa
AQN27296.2: 495 aa
AQN27293.2: 495 aa
AQN27291.2: 495 aa
AQN27290.2: 495 aa
AQN27286.2: 495 aa
AQN27285.2: 495 aa
AQN27268.2: 495 aa
AQN27264.2: 495 aa
AQN27262.2: 495 aa
AQN27260.2: 495 aa
AMK49331.1: 495 aa
AMK49330.1: 495 aa
AMK49327.1: 495 aa
AMK49326.1: 495 aa
AMK49316.1: 495 aa
AMK49313.1: 495 aa
AMK49310.1: 495 aa
ARB48137.1: 495 aa
ARB48135.1: 495 aa
ARB48132.1: 495 aa
ARB48130.1: 495 aa
AMD09603.1: 495 aa
AMD09601.1: 495 aa
AMD09593.1: 495 aa
ANC57642.1: 495 aa
ANC57640.1: 495 aa
ANC57637.1: 495 aa
ANC57635.1: 495 aa
ANC57621.1: 495 aa
ANC57620.1: 495 aa
ANC57618.1: 495 aa
ANC57617.1: 495 aa
ANC57616.1: 495 aa
APU53523.1: 495 aa
APU53521.1: 495 aa
APU53520.1: 495 aa
APU53517.1: 495 aa
APO36929.1: 520 aa
APO36927.1: 507 aa
APO36926.1: 524 aa
APO36925.1: 510 aa
APO36924.1: 521 aa
APO36923.1: 523 aa
APO36922.1: 523 aa
APO36921.1: 523 aa
APO36920.1: 523 aa
APO36919.1: 521 aa
ACH96451.1: 495 aa
ACH96449.1: 495 aa
ABD17395.1: 495 aa
ABD17394.1: 495 aa
ABD17392.1: 495 aa
ABD17391.1: 495 aa
ABD17390.1: 495 aa
ABD17389.1: 495 aa
ABC07328.1: 495 aa
ABC07327.1: 495 aa
ABA40423.1: 495 aa
ABA40422.1: 495 aa
AAZ43214.1: 495 aa
AAZ43202.1: 495 aa
AAZ43201.1: 495 aa
AAZ43199.1: 495 aa
AAW64433.1: 495 aa
AAW64432.1: 495 aa
AAW64431.1: 495 aa
AAW64428.1: 495 aa
AAW64425.1: 495 aa
AAW64424.1: 495 aa
AAW64423.1: 495 aa
AAW64421.1: 495 aa
AAW64420.1: 495 aa
AAW64418.1: 495 aa
AAW64413.1: 495 aa
AAW64412.1: 495 aa
AAW64409.1: 495 aa
AAW64407.1: 495 aa
AAW64405.1: 495 aa
AAW64404.1: 495 aa
AAW64403.1: 495 aa
AAW64401.1: 495 aa
AAW64397.1: 495 aa
AAW64396.1: 495 aa
AAW64394.1: 495 aa
AAW64389.1: 495 aa
AAW64384.1: 495 aa
AAW64381.1: 495 aa
AAW64380.1: 495 aa
AAW64378.1: 495 aa
AAW64377.1: 495 aa
AAW64375.1: 495 aa
AAW64374.1: 495 aa
AAW64373.1: 495 aa
AAW64372.1: 495 aa
AAW64370.1: 495 aa
AAW64367.1: 495 aa
AAW64366.1: 495 aa
AAW64363.1: 495 aa
AAW64361.1: 495 aa
AAW64360.1: 495 aa
AAW64355.1: 495 aa
AAW64345.1: 495 aa
AAW64343.1: 495 aa
AAW64340.1: 495 aa
AAV34700.1: 495 aa
AAT40237.1: 495 aa
AAT40236.1: 495 aa
AAT40235.1: 495 aa
AAT39551.1: 495 aa
AAT39550.1: 495 aa
AAT39549.1: 495 aa
AAT39548.1: 495 aa
AAT39547.1: 495 aa
AAT37503.1: 495 aa
AAT12783.1: 495 aa
AAT01283.1: 495 aa
AAT00447.1: 495 aa
AAF61125.1: 494 aa
AEW25027.1: 500 aa
AEW25026.1: 500 aa
AEW25025.1: 500 aa
AEW24972.1: 480 aa
AEV66295.1: 495 aa
AEV66293.1: 495 aa
AEV66290.1: 495 aa
AEV66289.1: 495 aa
AEO22993.1: 497 aa
AEO22991.1: 497 aa
AEO22989.1: 497 aa
AEO22988.1: 497 aa
AEO22987.1: 497 aa
AEO22985.1: 497 aa
AEO22984.1: 497 aa
AEO22983.1: 497 aa
AEN71276.1: 493 aa
AEN71275.1: 493 aa
AEN71274.1: 493 aa
AEN71273.1: 493 aa
AEN71238.1: 493 aa
AEN71236.1: 493 aa
AEN71235.1: 493 aa
AEN71234.1: 493 aa
AEN71233.1: 493 aa
AEN71232.1: 493 aa
AEN71231.1: 493 aa
AEN71230.1: 493 aa
AEN71229.1: 493 aa
AEL79848.1: 495 aa
AEL79847.1: 495 aa
AEL79846.1: 495 aa
AEL79845.1: 495 aa
AEL79844.1: 495 aa
AEL79843.1: 495 aa
AEL79842.1: 495 aa
AEL79841.1: 495 aa
AEL79840.1: 495 aa
AEL79839.1: 495 aa
AEL79838.1: 495 aa
AEL79837.1: 495 aa
AEL79836.1: 495 aa
AEL79835.1: 495 aa
AEJ89894.1: 495 aa
AEJ89893.1: 495 aa
AEJ89892.1: 495 aa
AEJ89891.1: 495 aa
AEJ89888.1: 495 aa
AEJ89884.1: 495 aa
AEC11162.1: 495 aa
AEC11160.1: 495 aa
AEC11156.1: 495 aa
AEC11151.1: 495 aa
AEC11149.1: 495 aa
ADW16027.1: 497 aa
ADW16024.1: 497 aa
ADJ18330.1: 495 aa
ADJ18329.1: 495 aa
ADJ18327.1: 495 aa
ADJ18324.1: 495 aa
ADJ18321.1: 495 aa
ACN54398.1: 495 aa
AAN74539.1: 495 aa
AAN32792.1: 495 aa
AAN32791.1: 495 aa
AAN32790.1: 495 aa
AAN32787.1: 495 aa
AAN32786.1: 495 aa
AAN32785.1: 495 aa
AAN32783.1: 495 aa
AAN32782.1: 495 aa
AAN32781.1: 495 aa
AAN32780.1: 495 aa
AAN32779.1: 495 aa
AAN32778.1: 495 aa
AAN32777.1: 495 aa
AAN32776.1: 495 aa
AAN32774.1: 495 aa
AAN32773.1: 495 aa
AAN32771.1: 495 aa
AAN32770.1: 495 aa
AAN32769.1: 495 aa
AAN32767.1: 495 aa
AAN32766.1: 495 aa
AAN32765.1: 495 aa
AAN32764.1: 495 aa
AAN32763.1: 495 aa
ABQ63111.1: 495 aa
ABQ63109.1: 495 aa
ANS54452.1: 495 aa
ABH09492.1: 495 aa
AND82439.1: 488 aa
AND82435.1: 495 aa
AND82429.1: 490 aa
